Title,Author,Year,Rating,Genre
The Brothers Karamazov,Dostoevsky,1880,9.0,Philosophy Fiction
War and Peace,Tolstoy,1869,9.2,Historical Fiction
Crime and Punishment,Dostoevsky,1866,8.9,Psychological Thriller
Women in the Sand,Clarice Lispector,1977,8.6,Literary Fiction
Post Office,Charles Bukowski,1971,7.8,Contemporary Fiction
Against the Grain,Joris-Karl Huysmans,1884,8.2,Decadent Novel
House of Leaves,Mark Z. Danielewski,2000,9.4,Experimental Novel
A Season in Hell,Arthur Rimbaud,1873,8.1,Symbolist Poetry
Watchman,Amor Towles,2016,8.5,Historical Fiction
Don Quixote,Miguel de Cervantes,1605,9.0,Satirical Novel
The Master and Margarita,Mikhail Bulgakov,1967,8.8,Magical Realism
One Hundred Years of Solitude,Gabriel Garcia Marquez,1967,9.2,Magical Realism
To Kill a Mockingbird,Harper Lee,1960,8.7,Classic Fiction
Pride and Prejudice,Jane Austen,1813,8.9,Romance Novel
Lolita,Vladimir Nabokov,1955,8.6,Psychological Fiction
Moby-Dick,Herman Melville,1851,8.5,Adventure Novel
The Great Gatsby,F. Scott Fitzgerald,1925,8.8,Literary Fiction
The Catcher in the Rye,J.D. Salinger,1951,8.4,Coming-of-Age Novel
1984,George Orwell,1949,8.9,Dystopian Fiction
Brave New World,Aldous Huxley,1932,8.7,Science Fiction
To the Lighthouse,Virginia Woolf,1927,8.3,Modernist Novel
Beloved,Toni Morrison,1987,8.6,Historical Fiction
Ulysses,James Joyce,1922,8.5,Modernist Novel
The Sound and the Fury,William Faulkner,1929,8.4,Stream-of-Consciousness Novel
The Center of the Earth,Jules Verne,1864,8.1,Adventure Novel
Mrs. Dalloway,Virginia Woolf,1925,8.3,Modernist Novel
Pride and Prejudice,Jane Austen,1813,8.9,Romance Novel
The Great Gatsby,F. Scott Fitzgerald,1925,8.8,Literary Fiction
Tess of the d'Urbervilles,Thomas Hardy,1891,8.2,Tragic Novel
On the Road,Jack Kerouac,1957,8.0,Beat Generation Novel
Alice's Adventures in Wonderland,Lewis Carroll,1865,8.7,Children's Novel
Möbius Dick,Philip K. Dick,1970,8.5,Science Fiction
The Picture of Dorian Gray,Oscar Wilde,1890,8.3,Gothic Fiction
The Stranger,Fyodor Dostoyevsky,1864,8.7,Psychological Thriller
Leo Tolstoy,War and Peace,1865,9.1,Historical Fiction
The House of Leaves,Mark Z. Danielewski,2000,8.8,Experimental Novel
Charles Bukowski,Post Office,1971,7.6,Contemporary Fiction
Joris-Karl Huysmans,Against the Grain,1884,8.3,Decadent Novel
Arthur Rimbaud,A Season in Hell,1873,8.2,Symbolist Poetry
The Complete Poems of Arthur Rimbaud,Rimbaud,1885,8.4,Symbolist Poetry Collection
Clarice Lispector,The Passion According to G.H.,1964,8.6,Philosophical Fiction
Jérôme Karl Huysmans,Against the Grain,1884,8.3,Decadent Novel
Don Quixote,Miguel de Cervantes,1605,9.0,Satirical Novel
The Master and Margarita,Mikhail Bulgakov,1967,8.9,Magical Realism
One Hundred Years of Solitude,Gabriel Garcia Marquez,1967,9.3,Magical Realism
A Hundred Years of Solitude,Gabriel Garcia Marquez,1967,9.2,Magical Realism
To Kill a Mockingbird,Harper Lee,1960,8.8,Classic Fiction
Pride and Prejudice,Jane Austen,1813,9.1,Romance Novel
Lolita,Vladimir Nabokov,1955,8.7,Psychological Fiction
Moby-Dick,Herman Melville,1851,8.6,Adventure Novel
The Great Gatsby,F. Scott Fitzgerald,1925,9.0,Literary Fiction
The Catcher in the Rye,J.D. Salinger,1951,8.5,Coming-of-Age Novel
1984,George Orwell,1949,9.0,Dystopian Fiction
Brave New World,Aldous Huxley,1932,8.9,Science Fiction
To the Lighthouse,Virginia Woolf,1927,8.4,Modernist Novel
Beloved,Toni Morrison,1987,8.8,Historical Fiction
Ulysses,James Joyce,1922,8.6,Modernist Novel
The Sound and the Fury,William Faulkner,1929,8.5,Stream-of-Consciousness Novel
The Center of the Earth,Jules Verne,1864,8.2,Adventure Novel
Mrs. Dalloway,Virginia Woolf,1925,8.6,Modernist Novel
Catch-22,Joseph Heller,1961,8.9,Satirical Fiction
The Grapes of Wrath,John Steinbeck,1939,8.7,Literary Fiction
The Adventures of Huckleberry Finn,Mark Twain,1884,8.8,Adventure Novel
A Clockwork Orange,Anthony Burgess,1962,8.5,Dystopian Fiction
The Old Man and the Sea,Ernest Hemingway,1952,8.3,Novella
Alice's Adventures in Wonderland,Lewis Carroll,1865,8.9,Children's Novel
